Nhóm,n,GBM cơ bản × GBM hệ số,GAM cơ bản × GBM hệ số,GBM cơ bản × GAM hệ số,GAM cơ bản × GAM hệ số
>15,660,0.17523891599666946,0.1521545283367304,0.17661988035241707,0.15366125590480736
12–15,2045,0.15260030871549365,0.14869632140933023,0.15276952072669414,0.14912037212696128
8–12,52972,0.14898686344870019,0.14921543036510704,0.1494005662977933,0.1496892872103366
TOÀN TẬP,216090,0.146496329231556,0.1483818054475272,0.1470514096635642,0.14887730171321786
