Phương án,Chuyến >15 km,Chuyến 12–15 km,Giá thật >300k,Toàn tập,Δ toàn tập,Ghi chú
Hybrid GBM (mốc),0.17523891599666946,0.15260030871549365,0.23671551772428714,0.146496329231556,0.0,baseline tuần 4
GAM đơn lẻ,0.15366125590480736,0.14912037212696128,0.2202622635799001,0.14887730171321786,0.23809724816618583,kém hơn trên toàn tập
Trọng số theo giá w=10,0.2168947651093918,0.1823270800919712,0.2044475344382088,0.1471313212580047,0.06349920264487052,chỉ train lại nhánh giá cơ bản · chế độ đầy đủ
Trọng số theo quãng đường w=20,0.1850666518539108,0.155590896819959,0.235274212950392,0.1465895242064661,0.009319497491008799,chỉ train lại nhánh giá cơ bản · chế độ đầy đủ
"Ghép GAM–GBM (d₀=6, d₁=14)",0.15400160461350004,0.1491836623755336,0.22240489122970147,0.14638561117201848,-0.011071805953752345,tham số dò trên 2026-01
