d0,d1,amax,chung,dai,d_chung,d_dai
6,14,0.4,0.1467796964052718,0.15195394061351206,-0.005734574570556705,0.4392571787794758
6,14,0.6,0.14677306055217818,0.1510135793226473,-0.0063981598799195405,0.5332933078659507
6,14,0.8,0.1467818605120047,0.15093465337047604,-0.005518163897266781,0.5411859030830773
6,14,1.0,0.14680044801108286,0.151311097576187,-0.0036594139894513544,0.5035414825119822
6,16,0.4,0.14678188158527194,0.1521930174148212,-0.005516056570542549,0.4153494986485623
6,16,0.6,0.14677197341728213,0.15122654824091084,-0.006506873369524491,0.5119964160395979
6,16,0.8,0.14677570821536562,0.1510956751763004,-0.006133393561175149,0.5250837225006411
6,16,1.0,0.14678799453457517,0.15141442156437968,-0.004904761640220356,0.4932090836927139
6,18,0.4,0.14678422268250782,0.15240108431927704,-0.0052819468469550435,0.39454280820297727
6,18,0.6,0.14677337201362692,0.1514592828384307,-0.006367013735045224,0.48872295628761275
6,18,0.8,0.14677394888447204,0.15126223928645322,-0.006309326650533187,0.5084273114853599
6,18,1.0,0.14678229915450441,0.15151907538865406,-0.005474299647295622,0.48274370126527577
6,20,0.4,0.14678706213492676,0.15262936045947492,-0.004998001605061031,0.3717151941831892
6,20,0.6,0.1467753625062274,0.1516680636448474,-0.00616796447499568,0.46784487564594246
6,20,0.8,0.14677370919252097,0.15140252446915273,-0.006333295845639686,0.4943987932154087
6,20,1.0,0.14677964950441438,0.15160967294634345,-0.005739264656298704,0.4736839454963365
6,24,0.4,0.14679258593708336,0.15305614876956955,-0.004445621389401189,0.3290363631737264
6,24,0.6,0.14677883727700305,0.15197986867444055,-0.005820487397431573,0.4366643726866265
6,24,0.8,0.14677475861303008,0.15161167241244447,-0.006228353794729413,0.4734839988862344
6,24,1.0,0.14677669875302432,0.15165596329602898,-0.006034339795304988,0.46905491052778303
8,14,0.4,0.14677811382371442,0.1519996672232893,-0.005892832726295261,0.43468451780175055
8,14,0.6,0.14676623334980304,0.1510652447983659,-0.007080880117432686,0.5281267602940926
8,14,0.8,0.14676703467196583,0.1509753885131953,-0.00700074790115357,0.5371123888111506
8,14,1.0,0.14677516646431224,0.15135196800967837,-0.006187568666513044,0.49945443916284415
8,16,0.4,0.14678224001016554,0.15229358908223667,-0.0054802140811827105,0.4052923319070145
8,16,0.6,0.14676962637569826,0.15134634081033252,-0.006741577527910603,0.5000171590974295
8,16,0.8,0.14676797075974543,0.1512011350760017,-0.006907139123193962,0.5145377325305123
8,16,1.0,0.1467730650625052,0.15149261699661445,-0.006397708847216688,0.485389540469236
8,18,0.4,0.14678576280969732,0.15253930710232508,-0.005127934128004719,0.3807205298981736
8,18,0.6,0.14677352524425258,0.15163055102575662,-0.006351690672479204,0.4715961375550193
8,18,0.8,0.14677047985804859,0.15141783040970422,-0.006656229292878457,0.4928681991602596
8,18,1.0,0.14677384600484703,0.15166066317502036,-0.006319614613034541,0.4685849226286454
8,20,0.4,0.14678935670778354,0.1527972054409983,-0.00476854431938345,0.35493069603085015
8,20,0.6,0.14677663955140108,0.15185555320030586,-0.006040259957629246,0.44909592010009547
8,20,0.8,0.1467730501289517,0.15160361395435099,-0.006399202202567178,0.4742898446955829
8,20,1.0,0.14677517202473514,0.15178529405595542,-0.006187012624223054,0.4561218345351392
