giua,n,chenh,lo,hi
1.0,8314,-4.1649254812473275,-4.32920114446959,-3.9985083419977565
3.0,8361,-0.7093982292413781,-0.8142874693958494,-0.6054580781610216
5.0,82569,-0.06579678191264943,-0.08069632425866764,-0.04916026022088514
7.0,61169,-0.06333411160858003,-0.08027981201285966,-0.047027214590709875
9.0,45720,-0.07081385382619176,-0.088899623934491,-0.05057090463333406
11.0,7252,-0.06663951367993265,-0.13573279384239992,-0.0015742514882257437
13.0,1690,0.16939975498620144,-0.0015735232993312378,0.3499209535210165
15.0,549,1.349545335656864,0.7092578218897686,2.092956871066605
18.0,327,1.1843643588781876,0.3521240847040756,1.921473562131835
21.0,139,5.189204876707191,2.317068168947962,7.788061939220486
