Nhóm,n,GAM,HistGB,GAM − HistGB,rõ_HistGB,LightGBM,GAM − LightGBM,rõ_LightGBM,XGBoost,GAM − XGBoost,rõ_XGBoost
>15,660,0.15366125590480736,0.17523891599666946,2.1577660091862088,✔,0.17545918582210143,2.179792991729403,✔,0.17784703145197334,2.4185775547165953,✔
12–15,2045,0.14912037212696128,0.15260030871549365,0.34799365885323613,✔,0.15248769845904359,0.33673263320822766,✔,0.15271429925866073,0.3593927131699422,✔
8–12,52972,0.1496892872103366,0.14898686344870019,-0.07024237616364039,✔,0.1491035901783533,-0.05856970319832955,✔,0.14921157322148712,-0.04777139888495069,✔
>300k,869,0.2202622635799001,0.23671551772428714,1.6453254144387042,✔,0.23734216199998184,1.7079898420081718,✔,0.23827960021008665,1.801733663018652,✔
200–300k,12934,0.1813435985208036,0.18094836626177163,-0.03952322590319336,,0.1814703830371876,0.012678451638401941,,0.18164597834618956,0.030237982538600567,
TOÀN TẬP,216090,0.14887730171321786,0.146496329231556,-0.23809724816618458,✔,0.14657499263368495,-0.23023090795328827,✔,0.14663945575630258,-0.2237845956915268,✔
