band,Đối xứng hiện tại ±30.07%,Bất đối xứng 3%/7%,Mondrian band + bất đối xứng 5%/5%,Mondrian band + bất đối xứng 3%/7%,CQR đối xứng (q05–q95),CQR bất đối xứng 5%/5%,CQR bất đối xứng 3%/7%
<50k,0.9241531664212077,0.9259941089837997,0.8917525773195877,0.8943298969072165,0.9032380952380953,0.9032380952380953,0.8826666666666667
50–100k,0.9052320739002044,0.9056712349511623,0.9025971075944574,0.9006284546074051,0.898257660546296,0.8967452131038447,0.8813031247164161
100–150k,0.8938640294729847,0.8938542572631949,0.8976556468714271,0.8979390409553313,0.8973997508859,0.8972549171068004,0.8958548572421717
150–200k,0.8960726046100714,0.8956978020507055,0.8973040987337028,0.8964741787808208,0.8924357896449784,0.8918391147514306,0.8922188169564156
200–300k,0.8951965065502183,0.8932860262008734,0.9031113537117904,0.8981986899563319,0.8912359550561798,0.890187265917603,0.8895880149812734
>300k,0.8379204892966361,0.8348623853211009,0.8287461773700305,0.8348623853211009,0.8803418803418803,0.8803418803418803,0.8803418803418803
