Tình huống,n,GBM Hybrid,GAM Hybrid,Ghép
quãng đường <5 km,35158,0.5352684106887419,-0.6607049250816233,0.5352684106887419
quãng đường 5–8 km,125255,-0.10868657966717653,-0.27504627984943447,-0.11128228669691102
quãng đường 8–12 km,52972,-0.22235451791992283,-0.2846111195771168,-0.1870092525308306
quãng đường 12–15 km,2045,0.5370480603839828,-0.09544132726580275,-0.07594440033544864
quãng đường 15–18 km,422,1.7141684651472828,-1.2885741838943265,-0.5452120192091723
quãng đường 18–20 km,99,-7.082613803751957,-3.289600130836734,-4.06266391984384
quãng đường 20–25 km,97,-13.300553588206993,-0.7272753699779666,-4.039905908282186
quãng đường >25 km,42,-25.07596475978061,3.678134064432096,-1.7646144252330465
giá giảm >15%,66098,11.850682157735278,12.12907449404416,11.845903224688808
giá giảm 5–15%,27343,3.5263424350438983,3.3769669485019493,3.504451044707177
giá đi ngang ±5%,28179,0.44897773928662954,-0.5909620277566181,0.4449098677771126
giá tăng 5–15%,22695,-2.969140608920495,-3.1297187837982086,-2.9957150562255395
giá tăng >15%,71775,-10.594396739217238,-10.670988739696655,-10.55303847804972
