Phương án,Coverage,Độ rộng TB,Vượt cận trên,Dưới cận dưới,Lệch coverage giữa band,Coverage band >300k
Đối xứng hiện tại ±30.07%,0.8980609931047249,72636.93999788922,0.07643574436577352,0.025503262529501598,8.62326771245716,0.8379204892966361
Bất đối xứng 1%/9%,0.896556990142996,75249.0970339144,0.0939238280346152,0.00951918182238882,7.275269892313297,0.8440366972477065
Bất đối xứng 2%/8%,0.8973298162802535,73071.14259690877,0.08335878569114721,0.019311398028599196,9.319785797606672,0.8287461773700305
Bất đối xứng 3%/7%,0.8980795039104077,72540.64184832963,0.07296034059882456,0.028960155490767737,9.113172366269884,0.8348623853211009
Bất đối xứng 4%/6%,0.8987829145263547,72753.4435386555,0.06258966171502614,0.03862742375861909,9.75035242508997,0.8318042813455657
Bất đối xứng 5%/5%,0.8992364292655838,73597.65012760987,0.05270489148040169,0.04805867925401453,10.313894781406374,0.8287461773700305
Bất đối xứng 6%/4%,0.9002313850710352,75319.15894501214,0.04193623027442269,0.05783238465454209,10.58288632770804,0.8256880733944955
Bất đối xứng 7%/3%,0.9008052200472025,77978.72081656942,0.03163959461335555,0.0675551853394419,12.332851422986678,0.8103975535168195
Bất đối xứng 8%/2%,0.9019575177009579,82430.66619872245,0.020944976630107824,0.07709750566893424,10.730161732715404,0.8256880733944955
Bất đối xứng 9%/1%,0.9026331621083807,90331.1833768003,0.010537276134943773,0.08682956175667546,10.560367152630468,0.8318042813455657
