Cách gán,w,<2,2–5,5–8,8–12,12–15,>15,TOÀN TẬP
— MỐC (w=1) —,1,0.09156218007558414,0.14164244182076818,0.14987854108639415,0.14898686344870019,0.15260030871549365,0.17523891599666946,0.146496329231556
Hiếm = chuyến >15 km,1,0.09156218007558414,0.14164244182076818,0.14987854108639415,0.14898686344870019,0.15260030871549365,0.17523891599666946,0.146496329231556
Hiếm = chuyến >15 km,2,0.09162768252750114,0.14165337363657068,0.14986315006897175,0.14899724032652428,0.15280371662007525,0.17747867843742957,0.14650259576637611
Hiếm = chuyến >15 km,3,0.09172155459720802,0.14169658442367217,0.14986240626454356,0.1490068783882869,0.15320364588729424,0.17826415664695394,0.14651969075416024
Hiếm = chuyến >15 km,5,0.09181445215227296,0.14166565613844614,0.14987027157887386,0.1489982810458266,0.15364823486372742,0.18044352169863476,0.14653273822649468
Hiếm = chuyến >15 km,10,0.09182070367246235,0.14169428881046645,0.1498833787016762,0.14901172035415247,0.15464223593969517,0.18312782459554364,0.14656503311476402
Hiếm = chuyến >15 km,20,0.09215849432849467,0.14172579686083242,0.14987353611207585,0.14900513730003626,0.15559089681995905,0.18506665185391086,0.14658952420646615
Hiếm = chuyến >300k,1,0.09156218007558414,0.14164244182076818,0.14987854108639415,0.14898686344870019,0.15260030871549365,0.17523891599666946,0.146496329231556
Hiếm = chuyến >300k,2,0.09169599629931956,0.14170403334751716,0.14985517666806678,0.14908678340508685,0.15715607786984329,0.18263877863155664,0.1465857957408807
Hiếm = chuyến >300k,3,0.09160674502063368,0.14167968334419231,0.14987254836402505,0.149209395731254,0.16106623439239778,0.18951424678865422,0.14667746728686176
Hiếm = chuyến >300k,5,0.09170690926451538,0.14168370744818617,0.14988159419666972,0.14936910181950996,0.16879896200867464,0.19952381297565727,0.14682996632386006
Hiếm = chuyến >300k,10,0.0917879337975418,0.14165514343140342,0.14988141205112746,0.1498619264621429,0.1823270800919712,0.21689476510939187,0.14713132125800474
Hiếm = chuyến >300k,20,0.09199770314629388,0.14164337455215434,0.14991647796364668,0.1506693866687719,0.19973393679016296,0.23711837401084865,0.14758269645043326
Hiếm = >15 km HOẶC >300k,1,0.09156218007558414,0.14164244182076818,0.14987854108639415,0.14898686344870019,0.15260030871549365,0.17523891599666946,0.146496329231556
Hiếm = >15 km HOẶC >300k,2,0.0916377082842207,0.14165494836368944,0.14987523199073527,0.1491046559229814,0.15540719228713026,0.17657312395302865,0.1465583845950196
Hiếm = >15 km HOẶC >300k,3,0.09169169738639071,0.14168978092669948,0.1498615010846522,0.14914712919544074,0.15865933486593153,0.17846574608539706,0.1466037994797675
Hiếm = >15 km HOẶC >300k,5,0.09175903193578,0.14167945500602544,0.14988855303718995,0.1493709350973113,0.16507501993657417,0.18130426058656904,0.1467450367629286
Hiếm = >15 km HOẶC >300k,10,0.09187235164030455,0.14166734530005534,0.14988964041091837,0.14987893386189835,0.17804660900179406,0.18124084954057607,0.1469956176550497
Hiếm = >15 km HOẶC >300k,20,0.09219710392726041,0.1417263743594287,0.14991806779691833,0.15085333269552942,0.1952841508239667,0.18307694467413893,0.14743952384990644
