Phương án,Coverage,Độ rộng TB,Vượt cận trên,Dưới cận dưới,Lệch coverage giữa band,Coverage band >300k
Đối xứng hiện tại ±30.07%,0.8980609931047249,72636.93999788922,0.07643574436577352,0.025503262529501598,8.62326771245716,0.8379204892966361
Bất đối xứng 3%/7%,0.8980795039104077,72540.64184832963,0.07296034059882456,0.028960155490767737,9.113172366269884,0.8348623853211009
Mondrian band + bất đối xứng 5%/5%,0.8991114813272247,73822.90474565221,0.05262622055624971,0.04826229811652552,7.4365176341759875,0.8287461773700305
Mondrian band + bất đối xứng 3%/7%,0.8983756768013328,72786.80498347175,0.0727844879448378,0.028839835253829424,6.576606928630424,0.8348623853211009
CQR đối xứng (q05–q95),0.8966773103799343,75998.6600474677,0.05556018325697626,0.04776250636308945,2.289621489621496,0.8803418803418803
CQR bất đối xứng 5%/5%,0.8960109213753529,75561.60927315224,0.05992873339812115,0.044060345226525986,2.289621489621496,0.8803418803418803
CQR bất đối xứng 3%/7%,0.8904114026563006,74953.8792955416,0.08267851358230367,0.026910083761395715,1.5512976900291409,0.8803418803418803
